Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
38.0,0.130503,0.0638083333333335,2.8490972222222664
38.05,0.1321219999999999,0.232442222222222,3.7059845679011807
38.1,0.1487409999999999,0.4890961111111058,3.5033083333332624
38.15,0.185305,0.6610949999999927,1.7266160493827407
38.2,0.222355,0.6764388888888873,-0.5016385802467903
38.25,0.256726,0.5880077777777935,-2.357519444444496
38.3,0.284136,0.4189355555555544,-3.683099382716122
38.35,0.300738,0.1977594444444421,-4.433141358024668
38.4,0.3048269999999999,-0.0469022222222218,-4.606654320987617
38.45,0.2958649999999999,-0.2862255555555547,-4.1905604938272045
38.5,0.2746859999999999,-0.4879755555555685,-3.213788271605004
38.55,0.2445089999999999,-0.6273716666666651,-1.7044259259258077
38.6,0.2088859999999999,-0.6790199999999924,0.2713709876543685
38.65,0.1724089999999999,-0.6203911111111041,2.4836259259258666
38.7,0.138126,-0.3929722222222211,3.8128228395061026
38.75,0.1322089999999999,-0.1455927777777789,3.3623706790124146
38.8,0.131722,-0.0372155555555555,2.5007003086419712
38.85,0.1304509999999999,0.037111111111111,2.770464197530839
38.9,0.130329,0.1989305555555538,3.721038580246895
38.95,0.1446339999999999,0.4608261111111096,3.677102160493908
39.0,0.1801879999999999,0.6492916666666853,1.988850617283995
39.05,0.2172389999999999,0.6793199999999984,-0.2524194444445709
39.1,0.252114,0.6016916666666604,-2.1499805555555787
39.15,0.280376,0.4423138888888841,-3.522546296296239
39.2,0.298545,0.2285122222222215,-4.338814814814769
39.25,0.304375,-0.013745555555556,-4.587516666666761
39.3,0.297066,-0.2534799999999996,-4.25017283950612
39.35,0.2777139999999999,-0.4604966666666617,-3.3561503086419138
39.4,0.248669,-0.60947666666666,-1.9227598765432352
39.45,0.2136889999999999,-0.673270555555554,-0.0144722222223501
39.5,0.177282,-0.6300133333333515,2.1513530864198014
39.55,0.1428939999999999,-0.4301483333333321,3.624540432098844
39.6,0.1321219999999999,-0.1857449999999984,3.4987080246913447
39.65,0.1304859999999999,-0.0473561111111109,2.7119317901234363
39.7,0.1304509999999999,0.0385377777777777,2.704513580246914
39.75,0.1315129999999999,0.1736205555555579,3.516069753086495
39.8,0.1412229999999999,0.4216122222222211,3.6891503086419
39.85,0.1757159999999999,0.6271144444444374,2.218903703703647
39.9,0.212001,0.6720988888888815,0.0417617283951105
39.95,0.2469109999999999,0.6109861111111095,-1.8640018518517367
40.0,0.276061,0.4660877777777903,-3.309758024691426
40.05,0.296022,0.2605199999999991,-4.228341358024734
40.1,0.3035399999999999,0.0202922222222218,-4.5682947530863816
40.15,0.2980579999999999,-0.2208349999999977,-4.3002472222221995
40.2,0.2801849999999999,-0.431292222222221,-3.4779302469136524
40.25,0.2527409999999999,-0.5876094444444598,-2.140725925925971
40.3,0.2185959999999999,-0.6657088888888872,-0.3133626543208662
40.35,0.1823809999999999,-0.6407811111111038,1.8522811728395272
40.4,0.147175,-0.4634261111111059,3.5152438271604205
40.45,0.132052,-0.2099411111111111,3.605509567901184
40.5,0.131635,-0.0507361111111109,2.7079342592592988
40.55,0.1324179999999999,0.0173511111111111,2.5291848765431935
40.6,0.1304509999999999,0.1356016666666658,3.4557941358024173
40.65,0.137934,0.3907872222222181,3.827179012345656
40.7,0.1714169999999999,0.6098816666666645,2.447987037037135
40.75,0.207145,0.6677100000000176,0.2796734567901235
40.8,0.2421769999999999,0.6185894444444427,-1.6539682098766526
40.85,0.2721279999999999,0.4824594444444392,-3.1292629629629665
40.9,0.2929069999999999,0.2856272222222193,-4.0745101851851295
40.95,0.302078,0.0536627777777777,-4.476224074074057
41.0,0.2984749999999999,-0.183990000000005,-4.31775709876552
41.05,0.2828299999999999,-0.3994999999999989,-3.6126540123456
41.1,0.256552,-0.5661805555555492,-2.366001851851792
41.15,0.223243,-0.655614999999993,-0.6276632716049749
41.2,0.1876189999999999,-0.6496016666666647,1.4696629629628437
41.25,0.1518039999999999,-0.5032705555555698,3.294217901234648
41.3,0.1318429999999999,-0.2516822222222219,3.72321203703709
41.35,0.1306249999999999,-0.0687016666666662,2.96511172839506
41.4,0.130503,0.0213966666666665,2.5695484567901214
41.45,0.1321739999999999,0.122051666666667,3.264452777777807
41.5,0.134906,0.3539227777777866,3.782203703703796
41.55,0.167188,0.5883216666666645,2.638045370370268
41.6,0.2022199999999999,0.6605277777777702,0.53503024691354
41.65,0.2374089999999999,0.62544166666666,-1.4112944444443842
41.7,0.2679509999999999,0.500263333333332,-2.9383188271603973
41.75,0.2899999999999999,0.3120044444444528,-3.9469919753087215
41.8,0.300686,0.0849244444444441,-4.423662345679021
41.85,0.2989449999999999,-0.1529072222222206,-4.3312117283950125
41.9,0.284605,-0.370961111111107,-3.669752469135796
41.95,0.2598059999999999,-0.5392722222222209,-2.501584259259355
42.0,0.2280289999999999,-0.6391177777777947,-0.8657487654321203
42.05,0.192492,-0.6441383333333317,1.118304012345792
42.1,0.1585389999999999,-0.5308238888888831,3.0001388888888862
42.15,0.1325569999999999,-0.2878716666666638,3.703412962962896
42.2,0.1323129999999999,-0.0868605555555558,3.028143209876509
42.25,0.130886,-0.0021938888888892,2.590109567901266
42.3,0.1307119999999999,0.1055222222222225,3.237892592592558
42.35,0.134663,0.3263811111111077,3.7451524691357334
42.4,0.1626809999999999,0.5571699999999938,2.7856530864197566
42.45,0.1973999999999999,0.6510683333333318,0.8097327160494988
42.5,0.2325359999999999,0.6297972222222391,-1.1533046296296576
42.55,0.263687,0.5169716666666653,-2.7284910493828094
42.6,0.286868,0.3376244444444405,-3.8031688271604858
42.65,0.2991539999999999,0.1159394444444429,-4.346328086419707
42.7,0.2989799999999999,-0.1191722222222219,-4.331330555555567
42.75,0.2865889999999999,-0.3384372222222309,-3.77422993827168
42.8,0.263513,-0.5161966666666653,-2.711333333333235
42.85,0.2323269999999999,-0.6285699999999933,-1.153997222222166
42.9,0.1973649999999999,-0.6492411111111039,0.779264814814773
42.95,0.1632029999999999,-0.5630588888888867,2.785406481481385
43.0,0.133044,-0.3251022222222301,3.782634259259351
43.05,0.1314779999999999,-0.0986438888888893,3.1728929012345928
43.1,0.131443,-0.0094933333333332,2.5317095679012334
43.15,0.1304339999999999,0.0811933333333329,3.087062345679008
43.2,0.132522,0.2887294444444439,3.7710712962963537
43.25,0.1570769999999999,0.5339883333333488,3.03243240740748
43.3,0.1926839999999999,0.6497083333333316,1.0779598765430876
43.35,0.2276809999999999,0.6365244444444375,-0.942981790123492
43.4,0.259423,0.5340816666666606,-2.5545089506172265
43.45,0.2837699999999999,0.3626394444444432,-3.681688271604866
43.5,0.2975359999999999,0.1460488888888927,-4.290241975308726
43.55,0.2990669999999999,-0.0881844444444442,-4.349069753086393
43.6,0.2882599999999999,-0.3109088888888854,-3.8519793209875974
43.65,0.2663849999999999,-0.4935244444444389,-2.84181234567902
43.7,0.2363299999999999,-0.6131322222222205,-1.3547256172840607
43.75,0.2018899999999999,-0.6453200000000171,0.50627993827161
43.8,0.1680929999999999,-0.5777966666666646,2.52048765432108
43.85,0.136385,-0.3598672222222185,3.729079938271581
